"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"17","대한통운 파업 언제끝나...? 너무 추운데....
그냥 전기장판 가서 살걸 인터넷으로 사서 이렇게 추위에 떨어야하나...ㅠㅠㅠ춥다고... 비염에 감기 겹쳐서 죽을맛인데 진짜 전기장판좀 보내조라....",FALSE,1,NA,2018-11-25 17:20:44,FALSE,NA,"1066743500895510528",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","pocky_haya",0,FALSE,FALSE,NA,NA
"18","파파레서피 질문 있는데요 대한통운 파업이라서 우체국으로 보내면 매주 수요일에 발송인 거예요?ㅠㅠㅠ 공지에 그렇게 써져잏둔데 나 너무 급한뎈ㅠㅗㅠㅏㅘ아르아ㅏ랗ㅇ",FALSE,0,NA,2018-11-25 16:43:50,FALSE,NA,"1066734216241508352",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ping_sehun21",0,FALSE,FALSE,NA,NA
"19","RT @NewtS__: 머글에게 산타는 '대한통운' 이라고 통칭되는군요! https://t.co/qLugnjzkoj",FALSE,0,NA,2018-11-25 16:35:22,FALSE,NA,"1066732083878408192",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","N_scamander_P",12,TRUE,FALSE,NA,NA
"20","아직도 대한통운 총파업중인가...? 내 바인더ㅠㅜㅠ 빨리와라",FALSE,0,NA,2018-11-25 16:09:32,FALSE,NA,"1066725584875610112",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ori_off1",0,FALSE,FALSE,NA,NA
"21","@K_jong_in_88 네네 퓨ㅠㅠ대한통운보니까 19일날 택배예약걸어놨던데 아직 암것두 안대있어요 ㅠㅠㅠㅠㅠ힝",FALSE,0,"K_jong_in_88",2018-11-25 16:00:27,FALSE,"1066723056104558592","1066723299214864384","827496116472012801","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","__Jong_In__",0,FALSE,FALSE,NA,NA
"22","1차 빅짼두 양도합니다. 운포 3.2에 양도합니다. 저녁에 대한통운으로 배송합니다. 디엠 주세요.",FALSE,0,NA,2018-11-25 15:41:16,FALSE,NA,"1066718468261564416",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","kMsN5z08QTyx51h",0,FALSE,FALSE,NA,NA
"23","RT @masterkeaton1: 중학생까지 야간노동을 시킨 혹은 방기한  cj 대한통운, (배달중 사고로 사망한)무면허 10대에게 오토바이 배달을 맡긴 치킨집 사장. 왜 한국 사회는 아직도 아동착취 노동이 만연한 채로 남아 있어야 하나? 마음이 많…",FALSE,0,NA,2018-11-25 15:37:30,FALSE,NA,"1066717522483802112",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","nanairokeik",4068,TRUE,FALSE,NA,NA
"24","@hahaha_22_3_25 대한통운파업하니까 지금질러 엉젠간 쓸꺼아님?",FALSE,0,"hahaha_22_3_25",2018-11-25 15:09:34,FALSE,"1066710371866566656","1066710490242408448","1011594948129447936","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","de_sm_03",0,FALSE,FALSE,NA,NA
"25","제천 근대문화유산 탐방기(제천 엽연초 생산조합 구 사옥, 제천 엽연초 수납취급소, 대한통운 제천영업소) (출처 : 과라오의 .. | 블로그) https://t.co/5lzCEa3tTJ

이상하게 제천 쪽으로… https://t.co/x2Q0V01TcE",FALSE,0,NA,2018-11-25 14:42:32,TRUE,NA,"1066703687844687872",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Cynellee",0,FALSE,FALSE,NA,NA
"26","대한통운 나한테 이러지마",FALSE,0,NA,2018-11-25 14:18:16,FALSE,NA,"1066697581919490048",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","VIVAHUIVA",0,FALSE,FALSE,NA,NA
"27","CJ대한통운 택배기사들 ""경찰 물리력에 부상자 발생"" 주장 https://t.co/vgC6SGQ2eq",FALSE,0,NA,2018-11-25 13:51:01,FALSE,NA,"1066690725734010881",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","sakota_2nd",0,FALSE,FALSE,NA,NA
"28","RT @god21korea: CJ대한통운 택배기사들 ＂경찰 물리력에 부상자 발생＂ 주장 https://t.co/kLIhuAPeJT",FALSE,0,NA,2018-11-25 13:31:48,FALSE,NA,"1066685890284539904",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","wlghkwkk",1,TRUE,FALSE,NA,NA
